Location,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017**,2018,2019,2020,2021,2022
Richmond St. and Parliament St.,46,1208,909,998,827,1100,812,721,809,829,3994,6615,2937,2106,1400,1290
Lake Shore Blvd. and York St.,42,635,165,238,394,592,249,310,410,271,45,324,321,1197,840,757
Steeles Ave. and Carpenter Rd.,70,1061,1123,835,782,999,834,747,436,601,528,804,623,920,1830,1794
Steeles Ave. and Hilda Ave.,25,625,527,760,846,1000,906,632,710,786,501,639,455,627,1314,1558
Albion Rd. and Silverstone Dr.,222,1467,1137,1092,975,1213,1289,1071,779,797,604,0,1181,947,912,1196
Albion Rd. and Finch Ave.*,0,0,93,171,145,251,160,110,70,143,32,0,0,0,0,0
Dixon Rd. and Kipling Ave.,0,160,86,75,96,136,106,86,56,123,27,71,99,82,30,48
Steeles Ave. and Islington Ave.,0,34,193,181,420,463,405,386,269,452,190,377,410,1313,430,262
Sheppard Ave. and Wilson Heights Blvd.,0,0,140,189,169,165,159,98,160,155,34,137,147,94,90,108
Bathurst St. and Sheppard Ave.,5,223,165,117,188,198,144,113,132,131,23,173,150,65,179,201
Lawrence Ave. and Marlee Ave.,0,436,494,454,288,228,353,275,217,193,213,283,371,307,458,515
Lawrence Ave. and Bathurst St.,0,54,161,74,90,207,151,174,188,168,24,71,113,342,176,0
Bayview Ave. and Cummer Ave.,0,0,590,943,811,1227,1194,973,879,1054,1004,885,1105,2601,2346,2899
Leslie St. and Lawrence Ave.,0,139,132,225,165,227,176,121,95,126,18,80,84,57,166,207
Leslie St. and York Mills Rd.,0,9,50,141,145,207,128,147,133,139,21,101,105,114,216,336
Bayview Ave. and Truman Rd. / Fifeshire Rd.,0,1416,1962,2291,1966,2210,1589,1093,1163,1994,1934,1648,1591,3383,3679,3106
Midland Ave. and McNicoll Ave.,0,121,395,383,356,307,238,253,341,344,152,187,81,359,431,324
Steeles Ave. and Birchmount Rd.,0,0,276,209,411,482,345,295,289,318,183,452,213,136,1475,1558
Warden Ave. and Arkona Dr. / Cloverleaf Gt.,0,369,1218,1235,1113,1351,914,844,901,1322,1223,1099,1058,1074,773,1153
Steeles Ave. and Brimley Rd.,0,365,462,402,283,552,477,370,334,379,201,269,224,224,193,229
College St. and Bathurst St.,0,22,109,117,43,127,71,15,108,142,34,501,583,472,548,559
Lawrence Ave. and Morningside Ave.,0,11,44,86,88,119,127,126,141,143,26,155,187,183,120,68
Dixon Rd. and Carlingview Dr.,0,0,79,482,332,551,435,260,339,358,425,158,180,238,187,251
Dufferin St. and Glencairn Ave.,0,0,457,933,527,998,785,948,606,619,544,610,616,2498,2149,1567
Overlea Blvd. and Thorncliffe Park Dr. / Beth Nealson Dr.,0,59,234,253,228,232,211,184,243,235,122,153,178,151,326,376
Ellesmere Rd. and Kennedy Rd.,0,225,217,256,189,235,266,232,276,326,120,251,191,729,474,477
Finch Ave. and Leslie St.,0,38,123,260,203,229,241,194,137,195,92,135,179,414,314,270
Birchmount Rd. and Huntingwood Dr.,0,0,610,795,618,491,692,556,555,507,354,459,439,378,509,36
Kingston Rd. and Port Union Rd. / Sheppard Ave.,0,60,27,48,67,82,86,95,95,78,20,95,113,92,89,68
Bloor St. and The West Mall,0,0,117,240,232,333,253,202,183,184,38,205,190,539,783,1070
The Queensway and The West Mall,0,27,216,79,224,369,494,811,346,368,400,240,266,234,221,269
Lake Shore Blvd. and Thirty Seventh St.,0,0,625,869,480,885,668,268,1015,709,655,948,1000,975,767,774
Kipling Ave. and Horner Ave.,0,29,20,11,5,34,35,32,20,16,1,22,63,125,54,66
The Queensway and North Queen St.,0,1,71,119,126,201,186,116,111,197,68,185,154,164,159,106
Wilson Ave. and Transit Rd. / Billy Bishop Way,0,11,108,542,274,479,476,293,475,650,489,544,329,256,177,191
Lake Shore Blvd. and Windermere Ave.,0,579,389,1040,955,1220,1366,770,896,1288,1344,1587,1367,875,733,474
Warden Ave. and McNicoll Ave.,0,0,643,1482,1283,1296,1176,915,810,329,209,402,389,348,946,1173
Keele St. and Wilson Ave.,0,49,66,80,57,89,93,77,58,79,18,72,106,68,51,114
Dupont St. and Lansdowne Ave.,0,380,177,116,216,380,331,237,346,742,1518,852,773,1155,948,958
Queen St. and Lansdowne Ave. / Jameson Ave.,0,0,162,344,350,802,564,812,1056,1145,943,746,1498,794,605,935
Burnhamthorpe Rd. and The East Mall,0,241,328,168,161,0,504,422,504,530,314,561,408,421,382,417
Sheppard Ave. and Keele St.,0,0,50,63,82,111,126,85,97,99,18,62,90,39,82,0
Eglinton Ave. and Bermondsey Rd. / Sloane Ave.*,0,835,677,889,522,535,647,705,604,609,317,0,0,0,0,0
Jane St. and Bala Ave. / Emmett Ave.,0,1056,1060,1037,936,869,628,1049,990,882,344,537,350,608,586,348
Jane St. and Clair Rd. / Spenvalley Dr.,0,472,1883,1353,1308,927,1082,77,345,1300,958,1069,1412,1524,1065,1004
